Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,100724,Remmy Wipeable Roll Top Pouch,The Remmy Wipeable Roll Top Pouch has adjustable capacity based on your storage needs. Durable fabric and outdoor inspired hardware give a sense of tactical performance. Front zippered pocket. Roll top opening with buckle closure to main compartment. Buckle closure doubles as a grab handle or easily allows you to attach the pouch to another bag. Wipeable PEVA interior lining for easy cleaning.,,,,,50,99,15.26,P,100,299,13.08,Q,300,999,11.42,R,1000,2000,10.98,R
GEM,100724-001,Remmy Wipeable Roll Top Pouch Black,Black,,956,,,,,,,,,,,,,,,,,,,,
GEM,100726,Reusable Wash Bag,"Multi-Purpose reusable wash bag that protects your garments from damage. The mesh wash bag protects your reusable face masks from tangling, snagging, or pulling in the washer. Top zippered closure with elastic loop to keep zipper secure when closed and in use. Wash and dry before your first use. Care instructions: Machine wash warm, gentle cycle. Tumble dry low. Do not bleach. Do not iron. Decoration may fade overtime with washing. Reusable face masks not included.",,,,,200,400,2.25,R
GEM,100726-100,Reusable Wash Bag White,White,,43618,,,,,,,,,,,,,,,,,,,,
GEM,100727,Remmy Wipeable Zippered Pouch,The Remmy Wipeable Zippered Pouch is ideal for a stow-and-go lifestyle. Durable fabric and outdoor inspired hardware give a sense of tactical performance. Front slash pocket with hook and loop closure. Reflective cord loops double as grab tabs when zipping closed as well as attachment points to another bag. Zippered closure to main compartment. Wipeable PEVA interior lining for easy cleaning.,,,,,100,299,9.7,P,300,599,8.32,Q,600,999,7.26,R,1000,2000,6.98,R
GEM,100727-001,Remmy Wipeable Zippered Pouch Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100732,Reusable Face Mask and Storage Pouch Kit,"The perfect pouch to store your essentials on the go. The RuMe® Reveal Quart is paired with one Reusable Face Mask, so you can stay prepared while on the go. The Reusable Face Mask and RuMe® Reveal Quart pouch are both washable! Kit contains: One RuMe® Reveal Quart. One Reusable Face Mask. The reusable mask is not medical grade or a direct substitute for N95, surgical, or procedural masks and should NOT be used as a replacement for conventional and approved Personal Protective Equipment.",,,,,100,299,7.61,P,300,599,6.53,Q,600,999,5.7,R,1000,2000,5.48,R
GEM,100732-001,Reusable Face Mask and Storage Pouch Kit Black,Black,,4617,,,,,,,,,,,,,,,,,,,,
GEM,100736,Moleskine® Classic Pro Backpack,"A professional bag for your mobile workspace, created to celebrate the clean design of the legendary notebook. This discreet, essential travel companion features several pockets to organize everything you need throughout the working day, including a separate padded device compartment to protect a tablet or laptop. Double zip closure to separate your laptop from your personal belongings. Breathable air-mesh back for cool comfort on the move. Adjustable backpack straps.",,,,,6,24,231.49,T,25,49,218.38,T,50,99,207.99,T,100,200,199.99,T
GEM,100736-001,Moleskine® Classic Pro Backpack Black,Black,,280,,,,,,,,,,,,,,,,,,,,
GEM,100738,Moleskine® Classic Pro Vertical Device Bag,"An adaptable device bag to carry your professional tools and everything necessary to tackle and learn from the day’s challenges. Thoughtfully designed, this vertical bag has a clever sliding handle that runs around the edge, allowing you to pick it up either from the top or side. It also has hidden backpack straps to use on longer journeys. The bag opens wide to give you access to your favorite device (up to 15”), which can be stored in a protective compartment inside.",,,,,6,24,190.97,T,25,49,180.16,T,50,99,171.59,T,100,200,164.99,T
GEM,100738-001,Moleskine® Classic Pro Vertical Device Bag Black,Black,,287,,,,,,,,,,,,,,,,,,,,
GEM,100739,Sarada Bento Lunch Box,"Give your meal prep a makeover with this sleekly-designed salad bento box. BPA free and made from food-grade materials. Includes fork, knife, and a 1.4 oz. dressing/sauce container that packs neatly into box. Two stackable compartments for separating and organizing meals and snacks. Lid has leakproof silicone sealing ring. Freezer safe and dishwasher safe (without lid). Microwave safe up to 3 minutes. Ideal for salads, sandwiches, or snacks on the go. 58 oz. capacity without inner tray.",,,,,25,49,24.98,P,50,99,21.42,Q,100,299,18.7,R,300,600,17.98,R
GEM,100739-100,Sarada Bento Lunch Box White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,100740,MiiR® Vacuum Insulated Wide Mouth Bottle - 32 Oz.,The perfect every day water bottle built for people on-the-go. A wide mouth opening makes it easy to clean and add ice cubes. The Wide Mouth Bottle won't sweat or be hot to touch no matter the temperature of your drink. 18/8 Medical grade stainless steel doesn't transfer flavor or leave you with a metal aftertaste in your mouth. Hardshell™ Powder coat for great color and prevents peeling. Thermo 3D® Vacuum Insulation. Wide Mouth Bottle and lid are BPA free and leak proof.,,,,,12,24,33.59,R
GEM,100740-009,MiiR® Vacuum Insulated Wide Mouth Bottle - 32 Oz. Black Powder,Black Powder,,12575,,,,,,,,,,,,,,,,,,,,
GEM,100740-104,MiiR® Vacuum Insulated Wide Mouth Bottle - 32 Oz. White Powder,White Powder,,3816,,,,,,,,,,,,,,,,,,,,
GEM,100740-791,MiiR® Vacuum Insulated Wide Mouth Bottle - 32 Oz. Tidal Blue,Tidal Blue,,1767,,,,,,,,,,,,,,,,,,,,
GEM,100741,"Stand Up Storage Bag, Medium","Reusable stand up storage bag to hold everything from meal prep items to snacks. Not recommended for hot foods. Hand wash only. Not for use in microwave, oven, or dishwasher. Freezer safe. BPA free. 33 oz. capacity.",,,,,150,299,5.53,P,300,599,4.75,Q,600,999,4.14,R,1000,2000,3.98,R
GEM,100741-000,"Stand Up Storage Bag, Medium Clear",Clear,,0,,,,,,,,,,,,,,,,,,,,
GEM,100743,Soleil Ceramic Mug - 12 oz.,"Get a handle on your Monday morning video call with this sleek mug. Stylishly holds the warm beverage of your choice. Dishwasher safe, top rack recommended. Microwave safe. Handle with care when mug or contents are hot. One-piece natural gift box included. Gift box dimensions: 4.75""L, 4""H, 3.5""W. 12 oz. capacity.",,,,,100,299,9.7,P,300,599,8.32,Q,600,999,7.26,R,1000,2000,6.98,R
GEM,100743-006,Soleil Ceramic Mug - 12 oz. Matte Black,Matte Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100743-107,Soleil Ceramic Mug - 12 oz. Matte White,Matte White,,2,,,,,,,,,,,,,,,,,,,,
GEM,100743-415,Soleil Ceramic Mug - 12 oz. Matte Navy,Matte Navy,,39,,,,,,,,,,,,,,,,,,,,
GEM,100745,Remmy Convertible Sling Bag,"The Remmy Convertible Sling Bag is designed to meet all of your carrying needs. Durable fabric and outdoor inspired hardware give a sense of tactical performance. Front zippered pocket. Reflective cord zipper pulls. Dual front slash pockets for quick access to frequently used accessories. Zippered closure to main compartment. Adjustable, removable shoulder strap for customized carrying. Wear as a shoulder bag, crossbody, or waist pack. Strap length adjusts to 38"".",,,,,30,49,20.81,P,50,99,17.85,Q,100,299,15.58,R,300,600,14.98,R
GEM,100745-001,Remmy Convertible Sling Bag Black,Black,,1282,,,,,,,,,,,,,,,,,,,,
GEM,100771,Mobile Office Desktop Document Sleeve,"Easily transport your folders, paperwork, and small desk accessories to seamlessly transition from working in the office to remotely at home. The desktop document sleeve opens to stand on its own and provide a workspace to help keep you organized. Front slash pocket for added storage. Zippered closure to main compartment. Folding side panels create a mobile workspace wherever your ""office"" is. Interior multi-function organizer to easily access pens, sticky notes, folders, and paperwork.",,,,,30,49,20.81,P,50,99,17.85,Q,100,299,15.58,R,300,600,14.98,R
GEM,100771-001,Mobile Office Desktop Document Sleeve Black,Black,,3828,,,,,,,,,,,,,,,,,,,,
GEM,100771-410,Mobile Office Desktop Document Sleeve Navy,Navy,,533,,,,,,,,,,,,,,,,,,,,
GEM,100783,Neoprene Can Cooler Sleeve,"Multi-use neoprene sleeve can be used as a tabletop hand sanitizer holder or can cooler sleeve. Integrated pull tab allows you to easily slide the sleeve onto a bottle of hand sanitizer or a 12 Oz. aluminum can. Sized to fit our 10.2 Oz. Bring the sleeve with you anywhere and use as a can cooler, accommodates 12 Oz. aluminum cans. The neoprene design is foldable and can be easily stored when not in use.",,,,,100,200,1.13,R
GEM,100783-001,Neoprene Can Cooler Sleeve Black,Black,,16620,,,,,,,,,,,,,,,,,,,,
GEM,100787,2-layer Athleisure Gaiter,"Inspired by sport. Made for every day. Gaiter is designed with 2 layers of material in the front and 1 layer of material in the back. Unisex – one size fits all. Covers your mouth, nose, and neck while keeping you from touching your face. Features an integrated aluminum nose frame that adjusts to ensure a proper fit. Integrated elastic strap with an adjustable cord lock for a secure fit. Soft interior mesh lining.",,,,,200,400,1.48,R
GEM,100787-001,2-layer Athleisure Gaiter Black,Black,,62730,,,,,,,,,,,,,,,,,,,,
GEM,100787-429,2-layer Athleisure Gaiter Cobalt Blue,Cobalt Blue,,52851,,,,,,,,,,,,,,,,,,,,
GEM,100795,Sigma Clear Zippered Pouch,"Ensure convenient entry the next time you attend a sporting event, concert or festival. The size and clear material is ideal for most concert/stadium guidelines. The pouch is a great solution for organizations following clear bag safety protocols. Zippered opening to main compartment. Wipeable for easy cleaning. PVC free.",,,,,150,299,6.92,P,300,599,5.94,Q,600,999,5.18,R,1000,2000,4.98,R
GEM,100795-000,Sigma Clear Zippered Pouch Clear,Clear,,11598,,,,,,,,,,,,,,,,,,,,
GEM,100796,Sigma Clear Zippered Tote,"Ensure convenient entry the next time you attend a sporting event, concert or festival. The size and clear material is ideal for most concert/stadium guidelines. The zippered tote is a great solution for organizations following clear bag safety protocols. Zippered opening to main compartment. Wipeable for easy cleaning. 25” shoulder straps. PVC free.",,,,,50,99,13.87,P,100,299,11.89,Q,300,999,10.38,R,1000,2000,9.98,R
GEM,100796-000,Sigma Clear Zippered Tote Clear,Clear,,3587,,,,,,,,,,,,,,,,,,,,
GEM,100797,Trailside Daypack,"The Trailside Daypack is ideal for your next outdoor excursion, suitable for the outdoor enthusiast and novice alike.  Lightweight yet durable ripstop material allows you to comfortably carry all that you need. Front pocket with coated zipper tape closure. Latching point at the base of the bag for attaching additional gear. Dual side stretch pockets for water bottles and other belongings. Zippered opening to large main compartment.",,,,,12,24,58.32,P,25,49,50.01,Q,50,99,43.66,R,100,200,41.98,R
GEM,100797-079,Trailside Daypack Gunite,Gunite,,14,,,,,,,,,,,,,,,,,,,,
GEM,100797-410,Trailside Daypack Navy,Navy,,144,,,,,,,,,,,,,,,,,,,,
GEM,100798,Trailside Slim Pack,"The Trailside Slim Pack is ideal for your next outdoor excursion, suitable for the outdoor enthusiast and novice alike.  Lightweight yet durable ripstop material allows you to comfortably carry all that you need. Latching point at the base of the bag for attaching additional gear. Zippered opening to main compartment. Interior mesh zippered pocket includes a compass on the zipper pull. Internal drop pocket can accommodate up to a 2L hydration reservoir (not included).",,,,,30,49,22.2,P,50,99,19.04,Q,100,299,16.62,R,300,600,15.98,R
GEM,100798-079,Trailside Slim Pack Gunite,Gunite,,6603,,,,,,,,,,,,,,,,,,,,
GEM,100799,Trailside Gear Bag,"The Trailside Gear Bag is ideal for your next outdoor excursion, suitable for the outdoor enthusiast and novice alike.  Lightweight yet durable ripstop material allows you to comfortably carry all that you need. Front pocket with coated zipper tape closure. Latching points at the top of the bag for attaching additional gear. Dual Zippered drop bottom compartment perfect for easy packing and organization.",,,,,20,49,44.43,P,50,99,38.1,Q,100,299,33.26,R,300,600,31.98,R
GEM,100799-410,Trailside Gear Bag Navy,Navy,,23,,,,,,,,,,,,,,,,,,,,
GEM,100800,Clarke Convertible Tote,"Bring modular functionality on your next errand run with this 2-in-1 convertible tote. Toggle cinch closure for added security. Adjustable, webbing straps for added comfort when used as a cinchpack. 14"" shoulder straps when used as a tote. Tote dimensions: 12L 15H 5.5W. Cinchpack dimensions: 11L 17H 5.5W.",,,,,25,49,24.98,P,50,99,21.42,Q,100,299,18.7,R,300,600,17.98,R
GEM,100800-037,Clarke Convertible Tote Graphite,Graphite,,530,,,,,,,,,,,,,,,,,,,,
GEM,100802,Mobile Professional Computer Backpack,Optimal storage solutions for the mobile professional. Top flap zippered pocket for storing accessories. Front zippered pocket with key fob clip. Dual side stretch water bottle pockets. Dual zippered main compartment includes a padded laptop pocket (fits up to a 15” laptop) and zippered mesh pocket for additional organization.,,,,,8,24,104.15,P,25,49,89.33,Q,50,99,77.98,R,100,200,74.98,R
GEM,100802-001,Mobile Professional Computer Backpack Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100803,Renew rPET Zippered Pouch,A modern and sustainable update to a classic pouch using recycled fabric and webbing made from plastic bottles. Keep accessories organized while on-the-go. Webbing loop detail for attaching a carabiner or keychain. Zippered closure to main compartment.,,,,,100,299,8.31,P,300,599,7.13,Q,600,999,6.22,R,1000,2000,5.98,R
GEM,100803-001,Renew rPET Zippered Pouch Black,Black,,2655,,,,,,,,,,,,,,,,,,,,
GEM,100803-216,Renew rPET Zippered Pouch Brindle,Brindle,,2860,,,,,,,,,,,,,,,,,,,,
GEM,100803-275,Renew rPET Zippered Pouch Cream,Cream,,6,,,,,,,,,,,,,,,,,,,,
GEM,100803-410,Renew rPET Zippered Pouch Navy,Navy,,2748,,,,,,,,,,,,,,,,,,,,
GEM,100804,Renew rPET Zippered Tote,"A modern and sustainable update to a classic tote bag using recycled fabric and webbing made from plastic bottles. Front slash pocket for storing accessories. Zippered opening to large main compartment. Interior zippered pockets for additional storage. 24.5"" shoulder straps. This product is kid-friendly/CPSIA compliant.",,,,,50,99,18.03,P,100,299,15.47,Q,300,999,13.5,R,1000,2000,12.98,R
GEM,100804-001,Renew rPET Zippered Tote Black,Black,,5780,,,,,,,,,,,,,,,,,,,,
GEM,100804-216,Renew rPET Zippered Tote Brindle,Brindle,,2371,,,,,,,,,,,,,,,,,,,,
GEM,100804-275,Renew rPET Zippered Tote Cream,Cream,,3987,,,,,,,,,,,,,,,,,,,,
GEM,100804-410,Renew rPET Zippered Tote Navy,Navy,,0,,,,,,,,,,,,,,,,,,,,
GEM,100805,Renew rPET Sling Bag,"A modern and sustainable update to a classic sling bag using recycled fabric and webbing made from plastic bottles. Front zippered pocket for storing accessories. Dual zippered opening to large main compartment. Adjustable, ambidextrous shoulder strap for customized wearing. This product is kid-friendly/CPSIA compliant.",,,,,30,49,24.98,P,50,99,21.42,Q,100,299,18.7,R,300,600,17.98,R
GEM,100805-001,Renew rPET Sling Bag Black,Black,,1590,,,,,,,,,,,,,,,,,,,,
GEM,100805-216,Renew rPET Sling Bag Brindle,Brindle,,1596,,,,,,,,,,,,,,,,,,,,
GEM,100805-275,Renew rPET Sling Bag Cream,Cream,,0,,,,,,,,,,,,,,,,,,,,
GEM,100805-410,Renew rPET Sling Bag Navy,Navy,,2754,,,,,,,,,,,,,,,,,,,,
GEM,100806,Renew rPET Computer Backpack,"A modern and sustainable update to a classic computer backpack using recycled fabric and webbing made from plastic bottles. Top dual zippered pocket for storing accessories. Front zippered pocket with key fob clip. Dual side water bottle pockets with compression straps. Rear padded, dual zippered laptop compartment (holds up to a 15"" laptop). Zippered main compartment includes interior pockets for organization. Top grab handle. Padded back panel. Padded, adjustable shoulder straps.",,,,,12,24,69.43,P,25,49,59.54,Q,50,99,51.98,R,100,200,49.98,R
GEM,100806-001,Renew rPET Computer Backpack Black,Black,,950,,,,,,,,,,,,,,,,,,,,
GEM,100806-216,Renew rPET Computer Backpack Brindle,Brindle,,1207,,,,,,,,,,,,,,,,,,,,
GEM,100806-275,Renew rPET Computer Backpack Cream,Cream,,1805,,,,,,,,,,,,,,,,,,,,
GEM,100806-410,Renew rPET Computer Backpack Navy,Navy,,714,,,,,,,,,,,,,,,,,,,,
GEM,100810,Anker® PowerPort Atom III 4-Port Desktop Charger,Charge 4 devices simultaneously: A PowerIQ 3.0 enabled USB-C port pumps out a max 45W output to charge virtually any USB-C device at top speed while 3 USB ports share a total of 20W to provide optimized charging for mobile devices. High-speed USB-C charging: Charge USB-C notebooks including Dell XPS 13 and MacBook Air 2018 at full speed via a 45W USB-C port. Universal compatibility: Anker signature PowerIQ 3.0 technology provides high-speed charging to virtually any mobile device.,,,,,8,24,103.69,P,25,49,88.93,Q,50,99,66.55,T,100,200,63.99,T
GEM,100810-001,Anker® PowerPort Atom III 4-Port Desktop Charger Black,Black,,1369,,,,,,,,,,,,,,,,,,,,
